player_name,team,adj_offense,adj_defense,adj_overall,var,Offense Score,Defense Score,Overall Score,Offense Score,Defense Score,Overall Score,Disagreement Among Metrics,,,OL,OS,DL,DS,VL,VS,
Chris Livingston,Cleveland Cavaliers,-2.5,-0.2,-2.7,0.26,16,39,20,20,46,23,13%,,,,,,,,,
DeJon Jarreau,Memphis Grizzlies,-2.0,-0.8,-2.7,0.47,21,28,20,27,33,23,23%,,,,,,,,,
Jeremy Sochan,New York Knicks,-2.6,-0.1,-2.7,0.52,15,39,20,19,47,23,26%,,,,,,,,,
Jacob Toppin,Atlanta Hawks,-2.1,-0.7,-2.7,0.58,20,29,20,25,35,23,29%,,,,,,,,,
Dillon Jones,New York Knicks,-2.7,-0.1,-2.8,0.49,15,40,19,18,48,23,25%,,,,,,,,,
Gary Trent Jr.,Milwaukee Bucks,-0.9,-1.8,-2.8,0.30,31,8,19,39,9,23,15%,,,,,,,,,
Grant Nelson,Brooklyn Nets,-2.5,-0.2,-2.8,0.91,16,38,19,20,45,23,45%,,,,,,,,,
Taurean Prince,Milwaukee Bucks,-1.3,-1.4,-2.8,0.29,27,16,19,34,19,23,14%,,,,,,,,,
Larry Nance Jr.,Cleveland Cavaliers,-2.6,-0.2,-2.8,0.77,16,38,19,19,45,23,38%,,,,,,,,,
Nolan Traore,Brooklyn Nets,-1.7,-1.1,-2.8,0.29,24,21,19,30,25,23,15%,,,,,,,,,
Jamison Battle,Toronto Raptors,-2.2,-0.6,-2.8,0.35,19,31,19,24,37,23,18%,,,,,,,,,
Chris Paul,Toronto Raptors,-1.4,-1.4,-2.8,0.45,27,15,19,34,18,23,22%,,,,,,,,,
Russell Westbrook,Sacramento Kings,-1.1,-1.7,-2.8,0.58,30,10,19,37,12,23,29%,,,,,,,,,
Payton Sandfort,Oklahoma City Thunder,-1.9,-0.9,-2.8,0.76,22,24,19,28,29,23,38%,,,,,,,,,
Max Shulga,Boston Celtics,-2.4,-0.5,-2.8,0.67,17,33,19,22,40,23,33%,,,,,,,,,
Jarace Walker,Indiana Pacers,-2.0,-0.8,-2.8,0.32,21,27,19,26,32,22,16%,,,,,,,,,
Bruce Brown,Denver Nuggets,-2.2,-0.6,-2.8,0.73,19,31,19,23,37,22,36%,,,,,,,,,
Malachi Smith,Brooklyn Nets,-2.0,-0.9,-2.8,0.43,21,26,19,26,31,22,21%,,,,,,,,,
E.J. Liddell,Brooklyn Nets,-1.5,-1.3,-2.8,0.33,25,18,19,32,21,22,17%,,,,,,,,,
Andersson Garcia,Utah Jazz,-2.5,-0.4,-2.8,0.57,16,35,19,20,42,22,28%,,,,,,,,,
Lawson Lovering,Memphis Grizzlies,-2.7,-0.2,-2.8,0.80,14,39,19,18,46,22,40%,,,,,,,,,
Andre Jackson Jr.,Milwaukee Bucks,-2.7,-0.1,-2.9,0.65,14,39,19,17,47,22,33%,,,,,,,,,
Charles Bassey,Golden State Warriors,-1.5,-1.3,-2.9,0.24,25,17,19,32,20,22,12%,,,,,,,,,
TyTy Washington Jr.,Los Angeles Clippers,-2.2,-0.6,-2.9,0.62,19,30,18,23,36,22,31%,,,,,,,,,
Olivier Sarr,Cleveland Cavaliers,-1.9,-1.0,-2.9,0.72,22,24,18,27,29,22,36%,,,,,,,,,
Kyle Lowry,Philadelphia 76ers,-2.3,-0.6,-2.9,0.63,18,31,18,22,38,22,32%,,,,,,,,,
Tyler Burton,Memphis Grizzlies,-2.1,-0.8,-2.9,0.62,19,27,18,24,33,21,31%,,,,,,,,,
Malevy Leons,Golden State Warriors,-1.8,-1.1,-2.9,0.48,22,21,18,28,26,21,24%,,,,,,,,,
Norchad Omier,Los Angeles Clippers,-1.9,-1.0,-3.0,0.70,22,23,18,27,27,21,35%,,,,,,,,,
Julian Reese,Washington Wizards,-1.8,-1.2,-3.0,0.42,22,20,17,28,24,21,21%,,,,,,,,,
David Roddy,Denver Nuggets,-2.5,-0.5,-3.0,0.31,16,33,17,20,40,21,15%,,,,,,,,,
Will Riley,Washington Wizards,-1.2,-1.8,-3.0,0.50,29,8,17,36,10,21,25%,,,,,,,,,
CJ Huntley,Phoenix Suns,-2.4,-0.6,-3.0,0.79,17,30,17,22,36,21,39%,,,,,,,,,
Dalano Banton,Boston Celtics,-2.9,-0.2,-3.0,0.45,13,39,17,16,47,21,23%,,,,,,,,,
Caleb Martin,Dallas Mavericks,-3.7,0.7,-3.0,0.18,5,54,17,6,60,21,9%,,,,,,,,,
Tidjane Salaun,Charlotte Hornets,-3.2,0.2,-3.0,0.16,9,45,17,12,53,21,8%,,,,,,,,,
Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,0.31,25,15,17,31,18,20,15%,,,,,,,,,
DaQuan Jeffries,Sacramento Kings,-1.9,-1.1,-3.0,0.50,22,21,17,27,25,20,25%,,,,,,,,,
Amir Coffey,Phoenix Suns,-2.7,-0.3,-3.0,0.56,14,37,17,17,44,20,28%,,,,,,,,,
Trey Alexander,New Orleans Pelicans,-2.3,-0.7,-3.0,0.54,18,29,17,22,35,20,27%,,,,,,,,,
Alondes Williams,Washington Wizards,-2.2,-0.8,-3.0,0.56,19,27,17,23,32,20,28%,,,,,,,,,
Jahmyl Telfort,Los Angeles Clippers,-2.4,-0.6,-3.1,0.65,17,30,17,21,36,20,32%,,,,,,,,,
Isaiah Stevens,Sacramento Kings,-2.2,-0.9,-3.1,0.78,19,25,17,24,30,20,39%,,,,,,,,,
Isaac Jones,Detroit Pistons,-2.4,-0.7,-3.1,0.59,17,29,17,22,35,20,29%,,,,,,,,,
Jaden Ivey,Chicago Bulls,-2.3,-0.7,-3.1,0.46,18,28,17,22,34,20,23%,,,,,,,,,
Isaiah Crawford,Houston Rockets,-2.4,-0.7,-3.1,0.66,17,30,17,21,35,20,33%,,,,,,,,,
Walter Clayton Jr.,Memphis Grizzlies,-1.4,-1.7,-3.1,0.26,27,11,17,33,13,20,13%,,,,,,,,,
Xavier Tillman,Charlotte Hornets,-3.4,0.3,-3.1,0.74,8,47,17,10,55,20,37%,,,,,,,,,
Drew Timme,Los Angeles Lakers,-2.2,-0.9,-3.1,0.30,19,25,17,24,30,20,15%,,,,,,,,,
Josh Oduro,New Orleans Pelicans,-2.1,-1.0,-3.1,0.87,20,24,16,24,28,20,44%,,,,,,,,,
Trendon Watford,Philadelphia 76ers,-2.5,-0.6,-3.1,0.33,16,30,16,20,36,19,16%,,,,,,,,,
Pete Nance,Milwaukee Bucks,-1.9,-1.3,-3.2,0.44,22,19,16,27,22,19,22%,,,,,,,,,
Rocco Zikarsky,Minnesota Timberwolves,-2.6,-0.6,-3.2,0.62,15,31,16,19,37,19,31%,,,,,,,,,
Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,0.51,15,33,16,18,39,19,26%,,,,,,,,,
Wendell Moore Jr.,Detroit Pistons,-3.1,0.0,-3.2,0.44,10,41,16,12,49,19,22%,,,,,,,,,
Zeke Nnaji,Denver Nuggets,-3.5,0.3,-3.2,0.80,6,48,16,8,56,19,40%,,,,,,,,,
Adou Thiero,Los Angeles Lakers,-2.5,-0.7,-3.2,0.63,16,29,16,20,35,19,32%,,,,,,,,,
Joe Ingles,Minnesota Timberwolves,-1.9,-1.3,-3.2,1.01,22,18,16,27,21,19,51%,,,,,,,,,
Jonathan Mogbo,Toronto Raptors,-3.3,0.1,-3.2,0.44,8,44,16,10,52,19,22%,,,,,,,,,
Eric Gordon,Memphis Grizzlies,-1.9,-1.3,-3.2,0.49,22,17,16,27,21,19,24%,,,,,,,,,
Harrison Ingram,San Antonio Spurs,-2.7,-0.5,-3.2,0.75,14,32,16,18,38,19,38%,,,,,,,,,
Vladislav Goldin,Miami Heat,-2.4,-0.8,-3.2,0.71,17,27,16,21,32,19,36%,,,,,,,,,
Darius Brown,Cleveland Cavaliers,-2.3,-0.9,-3.2,0.62,18,25,15,22,30,18,31%,,,,,,,,,
Yang Hansen,Portland Trail Blazers,-2.8,-0.5,-3.2,0.41,14,33,15,17,39,18,21%,,,,,,,,,
Pat Spencer,Golden State Warriors,-1.7,-1.5,-3.2,0.71,24,14,15,29,16,18,36%,,,,,,,,,
Rob Dillingham,Chicago Bulls,-3.0,-0.2,-3.2,0.77,11,37,15,14,45,18,39%,,,,,,,,,
Dariq Whitehead,Memphis Grizzlies,-2.0,-1.3,-3.2,0.20,21,18,15,27,22,18,10%,,,,,,,,,
Killian Hayes,Sacramento Kings,-3.2,-0.1,-3.3,0.35,10,40,15,12,48,18,18%,,,,,,,,,
Jalen Wilson,Brooklyn Nets,-2.1,-1.2,-3.3,0.54,20,21,15,25,25,18,27%,,,,,,,,,
Lucas Williamson,Memphis Grizzlies,-1.8,-1.5,-3.3,0.42,23,14,15,28,17,18,21%,,,,,,,,,
Drew Eubanks,Sacramento Kings,-2.5,-0.8,-3.3,0.56,16,27,15,20,32,18,28%,,,,,,,,,
Trevon Scott,Brooklyn Nets,-2.2,-1.1,-3.3,0.42,19,21,15,24,26,18,21%,,,,,,,,,
Enrique Freeman,Minnesota Timberwolves,-2.5,-0.8,-3.3,0.81,16,27,15,20,32,18,40%,,,,,,,,,
Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,0.49,17,26,15,21,31,18,24%,,,,,,,,,
Zyon Pullin,Minnesota Timberwolves,-2.3,-1.1,-3.4,0.49,18,21,14,23,25,17,24%,,,,,,,,,
Alex Morales,Orlando Magic,-2.7,-0.6,-3.4,0.75,14,30,14,17,36,17,38%,,,,,,,,,
Sharife Cooper,Washington Wizards,-1.8,-1.6,-3.4,0.44,23,13,14,28,15,17,22%,,,,,,,,,
Chris Manon,Los Angeles Lakers,-2.5,-0.9,-3.4,0.63,16,26,14,20,31,17,31%,,,,,,,,,
AJ Johnson,Dallas Mavericks,-2.9,-0.5,-3.4,0.35,12,32,14,15,39,17,18%,,,,,,,,,
Mason Plumlee,San Antonio Spurs,-2.3,-1.1,-3.4,0.57,18,21,14,23,25,17,29%,,,,,,,,,
Dalton Knecht,Los Angeles Lakers,-1.8,-1.6,-3.4,0.37,23,12,14,28,15,17,19%,,,,,,,,,
Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,0.41,24,8,14,30,10,16,21%,,,,,,,,,
Stanley Umude,San Antonio Spurs,-2.8,-0.7,-3.5,0.39,13,30,14,16,36,16,20%,,,,,,,,,
Adama Bal,Memphis Grizzlies,-2.4,-1.1,-3.5,0.44,17,22,14,21,26,16,22%,,,,,,,,,
Omer Yurtseven,Golden State Warriors,-2.6,-0.9,-3.5,0.54,15,25,13,19,30,16,27%,,,,,,,,,
Kyle Kuzma,Milwaukee Bucks,-2.4,-1.1,-3.5,0.52,17,22,13,21,26,16,26%,,,,,,,,,
Blake Wesley,Portland Trail Blazers,-3.2,-0.4,-3.5,0.11,10,35,13,12,42,16,6%,,,,,,,,,
Hunter Sallis,Philadelphia 76ers,-2.8,-0.7,-3.6,0.63,13,28,13,16,34,15,31%,,,,,,,,,
Kam Jones,Indiana Pacers,-2.4,-1.3,-3.6,0.21,17,19,12,22,22,15,11%,,,,,,,,,
Mo Bamba,Utah Jazz,-2.9,-0.7,-3.6,0.37,12,29,12,15,35,15,18%,,,,,,,,,
Jeremiah Robinson-Earl,Dallas Mavericks,-1.8,-1.9,-3.6,0.34,23,7,12,29,8,14,17%,,,,,,,,,
Amari Williams,Boston Celtics,-3.5,-0.1,-3.7,0.65,6,39,12,8,47,14,32%,,,,,,,,,
Kobe Brown,Indiana Pacers,-1.9,-1.8,-3.7,0.24,22,9,12,28,10,14,12%,,,,,,,,,
Doug McDermott,Sacramento Kings,-1.8,-1.9,-3.7,0.40,23,7,12,29,8,14,20%,,,,,,,,,
Malaki Branham,Charlotte Hornets,-3.0,-0.7,-3.7,0.25,12,28,12,15,34,14,13%,,,,,,,,,
Gary Harris,Milwaukee Bucks,-3.7,-0.1,-3.7,0.32,5,41,11,6,49,14,16%,,,,,,,,,
Leaky Black,Washington Wizards,-2.5,-1.2,-3.8,0.20,16,19,11,20,23,13,10%,,,,,,,,,
Jericho Sims,Milwaukee Bucks,-2.1,-1.7,-3.8,0.63,20,11,11,25,13,13,31%,,,,,,,,,
Toby Okani,Memphis Grizzlies,-2.3,-1.4,-3.8,0.32,18,15,11,22,18,13,16%,,,,,,,,,
DeAndre Jordan,New Orleans Pelicans,-3.1,-0.7,-3.8,0.60,10,29,11,13,35,13,30%,,,,,,,,,
Tre Mann,Charlotte Hornets,-2.8,-1.0,-3.8,0.40,13,23,11,17,28,13,20%,,,,,,,,,
Hunter Dickinson,New Orleans Pelicans,-2.6,-1.2,-3.8,0.67,15,20,11,19,24,13,33%,,,,,,,,,
Patrick Williams,Chicago Bulls,-3.6,-0.2,-3.8,0.32,6,38,11,7,45,13,16%,,,,,,,,,
Isaiah Livers,Phoenix Suns,-3.0,-0.9,-3.8,0.21,12,26,11,14,31,13,11%,,,,,,,,,
Brooks Barnhizer,Oklahoma City Thunder,-3.2,-0.6,-3.8,0.51,9,30,11,12,36,13,26%,,,,,,,,,
Maxi Kleber,Los Angeles Lakers,-3.3,-0.5,-3.9,0.46,8,32,10,10,39,12,23%,,,,,,,,,
Keshon Gilbert,Atlanta Hawks,-3.2,-0.7,-3.9,0.79,10,28,10,12,34,12,39%,,,,,,,,,
Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,0.37,10,26,9,13,31,11,18%,,,,,,,,,
Isaiah Collier,Utah Jazz,-1.9,-2.2,-4.1,0.31,22,1,9,28,1,11,16%,,,,,,,,,
Skal Labissiere,Washington Wizards,-3.1,-1.1,-4.2,0.58,11,22,8,13,26,10,29%,,,,,,,,,
Ben Saraf,Brooklyn Nets,-3.6,-0.7,-4.3,0.47,6,29,7,7,35,8,24%,,,,,,,,,
Bub Carrington,Washington Wizards,-2.5,-1.8,-4.3,0.52,16,9,7,20,11,8,26%,,,,,,,,,
Jeff Green,Houston Rockets,-2.3,-2.0,-4.3,0.15,18,6,7,22,7,8,7%,,,,,,,,,
Markelle Fultz,Toronto Raptors,-4.0,-0.3,-4.3,0.58,2,36,6,2,43,8,29%,,,,,,,,,
Cody Williams,Utah Jazz,-2.9,-1.5,-4.4,0.38,12,15,6,15,18,7,19%,,,,,,,,,
Nick Smith Jr.,Los Angeles Lakers,-3.0,-1.4,-4.4,0.33,12,15,6,15,18,7,17%,,,,,,,,,
Drake Powell,Brooklyn Nets,-4.0,-0.4,-4.4,0.41,1,35,6,2,42,7,21%,,,,,,,,,
Jordan Hawkins,New Orleans Pelicans,-2.7,-1.7,-4.4,0.12,14,10,6,17,12,7,6%,,,,,,,,,
Garrett Temple,Toronto Raptors,-4.2,-0.4,-4.6,0.62,0,35,4,-1,41,5,31%,,,,,,,,,
Mouhamadou Gueye,Chicago Bulls,-3.6,-1.1,-4.6,0.55,6,22,4,8,26,5,28%,,,,,,,,,
Anthony Gill,Washington Wizards,-2.8,-1.8,-4.7,0.46,13,8,4,16,10,5,23%,,,,,,,,,
Jahmai Mashack,Memphis Grizzlies,-3.5,-1.2,-4.7,0.22,7,19,3,9,23,4,11%,,,,,,,,,
Trey Jemison III,New York Knicks,-4.1,-0.7,-4.8,0.33,1,28,2,1,34,3,16%,,,,,,,,,
Nigel Hayes-Davis,Milwaukee Bucks,-3.8,-1.1,-4.9,0.48,4,22,2,5,26,3,24%,,,,,,,,,
Thanasis Antetokounmpo,Milwaukee Bucks,-4.4,-0.5,-4.9,0.43,-2,32,2,-2,39,2,22%,,,,,,,,,
James Wiseman,Indiana Pacers,-3.6,-1.3,-4.9,0.20,5,18,2,7,22,2,10%,,,,,,,,,
Taj Gibson,Memphis Grizzlies,-4.1,-0.8,-5.0,0.28,1,26,1,1,31,2,14%,,,,,,,,,
Nick Richards,Chicago Bulls,-2.5,-2.7,-5.2,0.19,16,-8,-1,20,-10,-1,9%,,,,,,,,,
Rayan Rupert,Memphis Grizzlies,-4.2,-1.1,-5.3,0.30,0,21,-2,-1,25,-2,15%,,,,,,,,,
Bismack Biyombo,San Antonio Spurs,-5.2,-1.8,-7.0,0.22,-10,9,-15,-12,11,-18,11%,,,,,,,,,
